area_code,avg_hhsize_2019
E92000001,2.32
E06000047,2.20
E06000005,2.18
E06000001,2.17
E06000002,2.36
E06000057,2.17
E06000003,2.19
E06000004,2.33
E11000004,2.20
E08000037,2.17
E08000021,2.29
E08000022,2.13
E08000023,2.13
E08000024,2.22
E06000008,2.49
E06000009,2.11
E06000049,2.24
E06000050,2.27
E06000006,2.27
E06000007,2.27
E10000006,2.15
E07000026,2.18
E07000027,2.13
E07000028,2.15
E07000029,2.19
E07000030,2.17
E07000031,2.09
E11000001,2.30
E08000001,2.34
E08000002,2.31
E08000003,2.32
E08000004,2.44
E08000005,2.33
E08000006,2.17
E08000007,2.26
E08000008,2.24
E08000009,2.35
E08000010,2.25
E10000017,2.26
E07000117,2.27
E07000118,2.28
E07000119,2.07
E07000120,2.28
E07000121,2.21
E07000122,2.31
E07000123,2.30
E07000124,2.24
E07000125,2.28
E07000126,2.28
E07000127,2.35
E07000128,2.19
E11000002,2.18
E08000011,2.29
E08000012,2.11
E08000014,2.21
E08000013,2.24
E08000015,2.19
E06000011,2.24
E06000010,2.21
E06000012,2.22
E06000013,2.30
E06000014,2.26
E10000023,2.21
E07000163,2.16
E07000164,2.23
E07000165,2.22
E07000166,2.20
E07000167,2.20
E07000168,2.10
E07000169,2.34
E11000003,2.30
E08000016,2.25
E08000017,2.29
E08000018,2.33
E08000019,2.33
E11000006,2.34
E08000032,2.54
E08000033,2.22
E08000034,2.37
E08000035,2.28
E08000036,2.26
E06000015,2.37
E06000016,2.58
E06000018,2.30
E06000017,2.18
E10000007,2.23
E07000032,2.25
E07000033,2.26
E07000034,2.14
E07000035,2.19
E07000036,2.24
E07000037,2.23
E07000038,2.23
E07000039,2.34
E10000018,2.35
E07000129,2.39
E07000130,2.37
E07000131,2.34
E07000132,2.28
E07000133,2.28
E07000134,2.35
E07000135,2.47
E10000019,2.25
E07000136,2.34
E07000137,2.16
E07000138,2.19
E07000139,2.27
E07000140,2.33
E07000141,2.26
E07000142,2.25
E10000021,2.33
E07000150,2.43
E07000151,2.33
E07000152,2.31
E07000153,2.31
E07000154,2.32
E07000155,2.38
E07000156,2.30
E10000024,2.28
E07000170,2.28
E07000171,2.24
E07000172,2.31
E07000173,2.26
E07000174,2.25
E07000175,2.26
E07000176,2.34
E06000019,2.25
E06000051,2.22
E06000021,2.27
E06000020,2.41
E10000028,2.29
E07000192,2.30
E07000193,2.31
E07000194,2.33
E07000195,2.25
E07000196,2.31
E07000197,2.24
E07000198,2.25
E07000199,2.35
E10000031,2.27
E07000218,2.32
E07000219,2.30
E07000220,2.31
E07000221,2.21
E07000222,2.25
E11000005,2.46
E08000025,2.54
E08000026,2.40
E08000027,2.37
E08000028,2.50
E08000029,2.36
E08000030,2.45
E08000031,2.39
E10000034,2.29
E07000234,2.36
E07000235,2.20
E07000236,2.35
E07000237,2.27
E07000238,2.31
E07000239,2.22
E06000055,2.37
E06000056,2.37
E06000032,2.66
E06000031,2.43
