area_code,avg_hhsize_2019
S12000019,2.29
S12000020,2.2
S12000014,2.2
S12000018,2.05
S12000017,2.12
S12000027,2.21
S12000026,2.08
S12000028,2.11
S12000021,2.09
S12000023,2.06
S11000005,2.12
S12000005,2.12
S11000003,2.17
S11000001,2.24
S11000004,2.07
S12000011,2.4
S12000013,2.04
S12000006,2.1
S12000010,2.26
S12000008,2.19
S12000045,2.32
S12000046,2.05
S12000042,2.03
S12000044,2.21
S21000003,2.09
S92000003,2.15
S12000048,2.16
S12000047,2.16
S21000002,2.12
S12000034,2.35
S12000033,2.06
S12000035,1.99
S12000029,2.15
S12000030,2.27
S12000039,2.07
S12000041,2.13
S12000040,2.3
S12000036,2.11
S12000038,2.03
