id;name;region;stn_east;stn_north;acc_east;acc_north;freq;freqgrp;carsp;ticketm;busint;cctv;terminal;electric;tcbound;category;abstract
APY;APPERLEY BRIDGE;Yorkshire And The Humber;419454;438429;419365;438433;66;;297;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;F;
BEP;BERMUDA PARK;West Midlands;435927;289412;435884;289573;36;;0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
BIT;BICESTER VILLAGE;South East;458675;221950;458639;221920;85;;223;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
CBD;CONON BRIDGE;Scotland;254105;855032;254105;855032;24;;0;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;F;
CMB;CAMBRIDGE NORTH;East;547463;260686;547463;260686;179;;450;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;E;
ECP;ENERGLYN CHURCHILL PARK;Wales - Cymru;314957;187866;314957;187866;59;;18;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;F;
EGY;EDINBURGH GATEWAY;Scotland;317555;672777;317555;672777;121;;0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;E;
EKB;ESKBANK;Scotland;332343;665936;332343;665936;66;;248;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
FGW;FISHGUARD GOODWICK;Wales - Cymru;194535;238200;194535;238200;14;;23;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;F;
GAL;GALASHIELS;Scotland;349278;636380;349278;636380;66;;0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
GBG;GOREBRIDGE;Scotland;334560;661279;334560;661279;66;;73;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
ILN;ILKESTON;East Midlands;447411;342627;447411;342627;41;;150;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
ISP;ISLIP;South East;452600;214400;452543;214305;18;;23;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
JCH;JAMES COOK UNIVERSITY HOSPITAL;North East;451288;517708;451317;517651;33;;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;F;
KLF;KIRKSTALL FORGE;Yorkshire And The Humber;424949;436449;424674;436633;67;;120;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;F;
KNW;KENILWORTH;West Midlands;429199;271731;429199;271731;36;;71;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;E;
LEB;LEA BRIDGE;London;536176;187123;536194;187158;68;;0;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;F;
LLC;LLANDECWYN;Wales - Cymru;261800;337900;261847;337950;16;;0;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;F;
LMR;LOW MOOR;Yorkshire And The Humber;416316;428261;416316;428261;45;;128;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;F;
MNS;MAGHULL NORTH;North West;339087;402618;339087;402618;124;;156;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;E;
NEG;NEWTONGRANGE;Scotland;333175;664275;333175;664275;66;;53;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
OXP;OXFORD PARKWAY;South East;450121;211984;450121;211984;83;;830;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;E;
PYE;PYE CORNER;Wales - Cymru;327951;187471;327951;187471;34;;75;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
SFI;SHAWFAIR;Scotland;332682;670176;332682;670176;66;;53;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
SOI;STOW;Scotland;345662;644668;345662;644668;48;;33;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
STY;STRATFORD UPON AVON PARKWAY;West Midlands;418490;256540;418496;256565;80;;295;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;F;
TWB;TWEEDBANK;Scotland;352246;634943;352246;634943;66;;235;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;F;















