id,population
S34000001,269
S34000002,1270
S34000003,272
S34000004,206
S34000005,432
S34000006,243
S34000007,625
S34000008,201
S34000009,390
S34000010,2748
S34000011,322
S34000012,2441
S34000013,257
S34000014,1359
S34000015,316
S34000016,3318
S34000017,1013
S34000018,1306
S34000019,3060
S34000020,2295
S34000021,1454
S34000022,630
S34000023,960
S34000024,403
S34000025,296
S34000026,432
S34000027,491
S34000028,2931
S34000029,350
S34000030,227
S34000031,337
S34000032,346
S34000033,406
S34000034,405
S34000035,1263
S34000036,381
S34000037,422
S34000038,338
S34000039,983
S34000040,308
S34000041,226
S34000042,513
S34000043,792
S34000044,1115
S34000045,266
S34000046,314
S34000047,855
S34000048,636
S34000049,299
S34000050,478
S34000051,1543
S34000052,877
S34000053,2725
S34000054,1769
S34000055,322
S34000056,706
S34000057,704
S34000058,567
S34000059,730
S34000060,355
S34000061,286
S34000062,203
S34000063,405
S34000064,291
S34000065,350
S34000066,546
S34000067,226
S34000068,453
S34000069,674
S34000070,780
S34000071,822
S34000072,685
S34000073,359
S34000074,291
S34000075,273
S34000076,796
S34000077,365
S34000078,361
S34000079,2073
S34000080,374
S34000081,817
S34000082,335
S34000083,356
S34000084,250
S34000085,453
S34000086,1084
S34000087,1088
S34000088,655
S34000089,722
S34000090,775
S34000091,376
S34000092,1270
S34000093,276
S34000094,359
S34000095,769
S34000096,693
S34000097,212
S34000098,788
S34000099,1203
S34000100,307
S34000101,676
S34000102,448
S34000103,1116
S34000104,633
S34000105,835
S34000106,673
S34000107,479
S34000108,238
S34000109,313
S34000110,279
S34000111,275
S34000112,207
S34000113,387
S34000114,451
S34000115,264
S34000116,473
S34000117,274
S34000118,437
S34000119,217
S34000120,330
S34000121,420
S34000122,210
S34000123,317
S34000124,305
S34000125,1326
S34000126,695
S34000127,1066
S34000128,284
S34000129,526
S34000130,1400
S34000131,259
S34000132,267
S34000133,500
S34000134,254
S34000135,382
S34000136,784
S34000137,542
S34000138,351
S34000139,783
S34000140,371
S34000141,1344
S34000142,316
S34000143,209
S34000144,297
S34000145,463
S34000146,609
S34000147,759
S34000148,4399
S34000149,469
S34000150,945
S34000151,1093
S34000152,346
S34000153,234
S34000154,402
S34000155,449
S34000156,316
S34000157,230
S34000158,530
S34000159,442
S34000160,674
S34000161,755
S34000162,4318
S34000163,315
S34000164,212
S34000165,256
S34000166,380
S34000167,488
S34000168,1121
S34000169,832
S34000170,486
S34000171,443
S34000172,654
S34000173,856
S34000174,4050
S34000175,4054
S34000176,581
S34000177,5985
S34000178,863
S34000179,1239
S34000180,5317
S34000181,497
S34000182,260
S34000183,373
S34000184,371
S34000185,526
S34000186,388
S34000187,1114
S34000188,2254
S34000189,1471
S34000190,267
S34000191,318
S34000192,220
S34000193,911
S34000194,416
S34000195,482
S34000196,681
S34000197,1024
S34000198,1770
S34000199,396
S34000200,647
S34000201,646
S34000202,302
S34000203,584
S34000204,1123
S34000205,307
S34000206,534
S34000207,667
S34000208,453
S34000209,356
S34000210,305
S34000211,278
S34000212,696
S34000213,914
S34000214,279
S34000215,391
S34000216,246
S34000217,389
S34000218,734
S34000219,887
S34000220,1520
S34000221,1479
S34000222,801
S34000223,660
S34000224,1466
S34000225,1944
S34000226,1265
S34000227,2292
S34000228,211
S34000229,2239
S34000230,285
S34000231,231
S34000232,1226
S34000233,3049
S34000234,3823
S34000235,2514
S34000236,1116
S34000237,712
S34000238,390
S34000239,3978
S34000240,217
S34000241,1538
S34000242,1198
S34000243,2426
S34000244,3541
S34000245,725
S34000246,1924
S34000247,813
S34000248,1015
S34000249,525
S34000250,376
S34000251,1049
S34000252,2128
S34000253,391
S34000254,851
S34000255,546
S34000256,646
S34000257,713
S34000258,629
S34000259,760
S34000260,208
S34000261,519
S34000262,381
S34000263,1271
S34000264,561
S34000265,393
S34000266,362
S34000267,240
S34000268,835
S34000269,300
S34000270,796
S34000271,1926
S34000272,1602
S34000273,632
S34000274,1009
S34000275,1257
S34000276,1281
S34000277,886
S34000278,788
S34000279,1768
S34000280,4292
S34000281,707
S34000282,389
S34000283,283
S34000284,1288
S34000285,1789
S34000286,495
S34000287,416
S34000288,986
S34000289,485
S34000290,469
S34000291,479
S34000292,401
S34000293,1680
S34000294,318
S34000295,2192
S34000296,2068
S34000297,1580
S34000298,741
S34000299,1091
S34000300,310
S34000301,251
S34000302,1387
S34000303,1023
S34000304,1070
S34000305,1290
S34000306,258
S34000307,295
S34000308,440
S34000309,924
S34000310,875
S34000311,2397
S34000312,250
S34000313,758
S34000314,1451
S34000315,324
S34000316,438
S34000317,238
S34000318,519
S34000319,922
S34000320,692
S34000321,410
S34000322,1199
S34000323,213
S34000324,311
S34000325,278
S34000326,362
S34000327,204
S34000328,1109
S34000329,775
S34000330,404
S34000331,273
S34000332,444
S34000333,297
S34000334,948
S34000335,399
S34000336,919
S34000337,653
S34000338,268
S34000339,1476
S34000340,780
S34000341,997
S34000342,231
S34000343,231
S34000344,1657
S34000345,514
S34000346,793
S34000347,305
S34000348,403
S34000349,2886
S34000350,298
S34000351,267
S34000352,345
S34000353,219
S34000354,506
S34000355,602
S34000356,523
S34000357,766
S34000358,2653
S34000359,1698
S34000360,606
S34000361,419
S34000362,226
S34000363,526
S34000364,280
S34000365,524
S34000366,441
S34000367,764
S34000368,857
S34000369,2434
S34000370,1195
S34000371,880
S34000372,532
S34000373,217
S34000374,217
S34000375,305
S34000376,625
S34000377,201
S34000378,533
S34000379,529
S34000380,450
S34000381,419
S34000382,783
S34000383,963
S34000384,271
S34000385,464
S34000386,362
S34000387,2254
S34000388,203
